epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,245.848,1.84633,16.043,3.14461,0.4534,0.48313,0.39364,0.14292,1.90048,19.711,3.4881,6.84065e-05,6.84065e-05,6.84065e-05
40,251.276,1.81857,16.5332,3.16555,0.49718,0.49143,0.41075,0.15828,1.86146,19.2673,3.44361,6.69372e-05,6.69372e-05,6.69372e-05
41,257.921,1.82826,16.3749,3.16523,0.49714,0.47754,0.42943,0.16942,1.83773,19.0394,3.41331,6.54512e-05,6.54512e-05,6.54512e-05
42,263.367,1.79734,16.33,3.1629,0.49483,0.46514,0.43878,0.17207,1.83992,18.9276,3.40661,6.39499e-05,6.39499e-05,6.39499e-05
43,270.024,1.79024,16.1294,3.14383,0.51025,0.4669,0.43824,0.17218,1.85619,18.7162,3.42145,6.24349e-05,6.24349e-05,6.24349e-05
44,275.618,1.81486,15.9711,3.12677,0.50816,0.47098,0.45314,0.16859,1.88626,18.4966,3.43669,6.09076e-05,6.09076e-05,6.09076e-05
45,282.327,1.80759,15.9561,3.1661,0.53286,0.44445,0.46579,0.174,1.91208,18.1637,3.44331,5.93695e-05,5.93695e-05,5.93695e-05
46,287.794,1.77733,16.527,3.18342,0.47073,0.56742,0.47258,0.17745,1.93525,17.7167,3.44548,5.78221e-05,5.78221e-05,5.78221e-05
47,293.768,1.7698,16.163,3.13972,0.47736,0.5912,0.48997,0.18271,1.93735,17.7517,3.42738,5.62671e-05,5.62671e-05,5.62671e-05
48,299.835,1.78186,15.7043,3.11012,0.47782,0.58415,0.48148,0.17664,1.94452,17.7424,3.44387,5.47059e-05,5.47059e-05,5.47059e-05
49,305.716,1.86456,15.5702,3.15795,0.5124,0.57711,0.49461,0.17896,1.9507,17.3929,3.44277,5.314e-05,5.314e-05,5.314e-05
50,312.053,1.77388,16.0716,3.1167,0.52556,0.54859,0.50013,0.18431,1.91876,17.3101,3.39754,5.1571e-05,5.1571e-05,5.1571e-05
51,317.746,1.7613,15.8117,3.16375,0.52886,0.59539,0.50643,0.18667,1.91341,17.2659,3.38809,5.00005e-05,5.00005e-05,5.00005e-05
52,324.335,1.8061,15.9945,3.08492,0.52775,0.58415,0.50905,0.18432,1.93377,17.5501,3.43038,4.843e-05,4.843e-05,4.843e-05
53,329.865,1.72818,15.5588,3.05986,0.56174,0.58409,0.51927,0.18754,1.91453,17.6332,3.42273,4.6861e-05,4.6861e-05,4.6861e-05
54,336.499,1.79247,15.5188,3.11281,0.5497,0.58063,0.51846,0.18652,1.90914,17.7034,3.43342,4.52951e-05,4.52951e-05,4.52951e-05
55,342.324,1.77409,15.2769,3.08409,0.5944,0.56273,0.51652,0.1811,1.92658,17.8393,3.46027,4.37339e-05,4.37339e-05,4.37339e-05
56,349.008,1.73433,15.2949,3.06639,0.60859,0.55599,0.51801,0.1786,1.95112,17.7696,3.49073,4.21789e-05,4.21789e-05,4.21789e-05
57,354.608,1.79707,15.4553,3.16497,0.62058,0.55599,0.53458,0.19533,1.94364,17.6408,3.48684,4.06315e-05,4.06315e-05,4.06315e-05
58,361.104,1.7042,15.5679,3.06082,0.65521,0.56655,0.55302,0.2041,1.94679,17.3267,3.46929,3.90934e-05,3.90934e-05,3.90934e-05
59,366.837,1.77405,15.2138,3.047,0.65266,0.56303,0.54657,0.20174,1.95867,16.9493,3.46606,3.75661e-05,3.75661e-05,3.75661e-05
60,373.618,1.75755,15.3602,3.09036,0.67318,0.55843,0.55513,0.21681,1.97985,16.5561,3.46565,3.60511e-05,3.60511e-05,3.60511e-05
61,379.19,1.80644,14.689,3.06358,0.66788,0.55246,0.55476,0.21633,1.99905,16.6435,3.48246,3.45498e-05,3.45498e-05,3.45498e-05
62,385.796,1.75392,15.2406,3.07602,0.67415,0.55352,0.56197,0.21814,1.99978,16.6435,3.47442,3.30638e-05,3.30638e-05,3.30638e-05
63,391.654,1.70552,15.4366,3.06974,0.62779,0.58063,0.56842,0.21525,1.99993,16.6587,3.46045,3.15945e-05,3.15945e-05,3.15945e-05
64,398.371,1.78887,15.2296,3.12854,0.59343,0.58756,0.56109,0.21514,1.98897,16.6627,3.44453,3.01433e-05,3.01433e-05,3.01433e-05
65,404.12,1.79792,15.2491,3.12238,0.61715,0.57007,0.57535,0.2186,1.98126,16.2563,3.42763,2.87117e-05,2.87117e-05,2.87117e-05
66,410.509,1.81204,15.1305,3.16587,0.60052,0.57711,0.58026,0.22917,1.94381,16.2509,3.37713,2.73012e-05,2.73012e-05,2.73012e-05
67,416.507,1.80207,15.0733,3.07584,0.63853,0.57007,0.57614,0.22782,1.94572,16.0729,3.37648,2.59131e-05,2.59131e-05,2.59131e-05
68,422.712,1.74059,14.9223,3.03335,0.66688,0.57007,0.57951,0.22456,1.9503,16.2226,3.39944,2.45487e-05,2.45487e-05,2.45487e-05
69,428.96,1.77429,15.5076,3.13028,0.66834,0.57007,0.57373,0.22085,1.95385,16.2126,3.40116,2.32094e-05,2.32094e-05,2.32094e-05
70,434.833,1.80072,15.0976,3.14572,0.62676,0.56884,0.57926,0.22779,1.95444,16.2169,3.39618,2.18966e-05,2.18966e-05,2.18966e-05
71,441.139,1.79043,15.0835,3.12431,0.62594,0.57007,0.56614,0.21271,1.95638,16.2807,3.41048,2.06115e-05,2.06115e-05,2.06115e-05
72,446.678,1.76673,15.2481,3.07956,0.64981,0.56484,0.5743,0.21729,1.94793,16.2871,3.41691,1.93555e-05,1.93555e-05,1.93555e-05
73,453.471,1.77082,14.3568,3.00624,0.68641,0.56736,0.59347,0.22556,1.93579,16.1143,3.39023,1.81296e-05,1.81296e-05,1.81296e-05
74,459.107,1.82622,15.407,3.09943,0.7139,0.56655,0.60333,0.23205,1.92226,15.8742,3.36899,1.69352e-05,1.69352e-05,1.69352e-05
75,465.522,1.75939,14.8052,3.00199,0.73418,0.56689,0.60305,0.23278,1.92708,15.6453,3.34694,1.57735e-05,1.57735e-05,1.57735e-05
76,471.589,1.53289,18.1439,2.86857,0.67576,0.57359,0.60079,0.24103,1.89651,16.6658,3.3029,1.46455e-05,1.46455e-05,1.46455e-05
77,477.691,1.56907,18.4723,2.87198,0.62674,0.63034,0.57718,0.23614,1.9008,17.4313,3.30274,1.35524e-05,1.35524e-05,1.35524e-05
78,482.505,1.58221,19.3391,2.90048,0.61618,0.63798,0.57525,0.23364,1.90867,17.5072,3.30166,1.24953e-05,1.24953e-05,1.24953e-05
79,488.555,1.52789,17.6911,2.82271,0.61503,0.63732,0.58013,0.23692,1.90115,18.2444,3.30176,1.14752e-05,1.14752e-05,1.14752e-05
80,493.495,1.57091,18.6162,2.91564,0.60492,0.63732,0.57503,0.23547,1.90656,17.9554,3.30046,1.04931e-05,1.04931e-05,1.04931e-05
81,498.454,1.55892,18.5992,2.86322,0.61684,0.63732,0.58612,0.23958,1.93018,18.0615,3.32705,9.55005e-06,9.55005e-06,9.55005e-06
82,504.481,1.5109,18.895,2.82555,0.59708,0.64085,0.58004,0.23096,1.9321,18.0491,3.33046,8.64688e-06,8.64688e-06,8.64688e-06
83,509.319,1.56636,17.6085,2.87078,0.60126,0.64085,0.57979,0.22678,1.94886,18.0452,3.35081,7.78453e-06,7.78453e-06,7.78453e-06
84,515.41,1.52964,16.9189,2.81889,0.58422,0.63732,0.57301,0.22246,1.94586,18.1918,3.35723,6.96383e-06,6.96383e-06,6.96383e-06
85,520.393,1.56129,18.5973,2.87921,0.58763,0.63732,0.58036,0.22083,1.96261,18.1193,3.38109,6.1856e-06,6.1856e-06,6.1856e-06
86,525.559,1.57642,18.2256,2.89792,0.59101,0.64085,0.58007,0.22371,1.95936,18.0937,3.38244,5.45062e-06,5.45062e-06,5.45062e-06
87,531.154,1.53215,17.9032,2.88504,0.60039,0.6404,0.58143,0.22363,1.95609,18.0997,3.37452,4.7596e-06,4.7596e-06,4.7596e-06
88,535.98,1.49262,17.0778,2.83779,0.60562,0.6338,0.57692,0.22132,1.96023,17.8172,3.38705,4.11323e-06,4.11323e-06,4.11323e-06
89,542.154,1.56395,18.1548,2.84725,0.59481,0.6276,0.57669,0.21811,1.98534,17.7156,3.41297,3.51214e-06,3.51214e-06,3.51214e-06
90,547.091,1.47847,17.5659,2.7809,0.60317,0.64026,0.59086,0.2232,1.97671,17.7448,3.40534,2.95693e-06,2.95693e-06,2.95693e-06
91,553.024,1.52081,17.1885,2.84512,0.60154,0.61653,0.58381,0.22015,1.98321,17.7502,3.42038,2.44815e-06,2.44815e-06,2.44815e-06
92,558.09,1.48785,17.4387,2.85715,0.59103,0.6196,0.59065,0.22117,1.97931,17.6633,3.41392,1.9863e-06,1.9863e-06,1.9863e-06
93,563.024,1.54763,18.4762,2.89238,0.60525,0.63209,0.59003,0.22116,1.97319,17.7623,3.4022,1.57183e-06,1.57183e-06,1.57183e-06
94,569.048,1.53234,17.3418,2.87761,0.65102,0.55563,0.59515,0.2247,1.97523,17.7165,3.40235,1.20515e-06,1.20515e-06,1.20515e-06
95,573.895,1.55798,17.8552,2.92507,0.59551,0.6297,0.57883,0.2194,1.97163,17.7435,3.41047,8.86629e-07,8.86629e-07,8.86629e-07
96,580.112,1.52516,16.9072,2.85468,0.58692,0.62476,0.58343,0.21785,1.96998,17.8174,3.40077,6.16577e-07,6.16577e-07,6.16577e-07
97,584.98,1.57107,17.2454,2.87786,0.59834,0.63865,0.5884,0.21905,1.99776,17.6305,3.44398,3.95261e-07,3.95261e-07,3.95261e-07
98,590.917,1.50754,17.3301,2.81429,0.581,0.61339,0.58806,0.22248,1.97648,17.6776,3.40645,2.229e-07,2.229e-07,2.229e-07
99,596.037,1.55352,18.152,2.86512,0.59978,0.6338,0.59041,0.22475,1.97218,17.7495,3.40359,9.96626e-08,9.96626e-08,9.96626e-08
100,600.915,1.5718,17.6105,2.88379,0.61438,0.60382,0.5879,0.21956,1.9972,17.7341,3.44022,2.56717e-08,2.56717e-08,2.56717e-08
1,11.6276,2.04739,2.21856,1.72765,0.51438,0.49838,0.46544,0.21552,1.70094,2.80129,1.50823,0.093007,7e-06,7e-06
2,14.9068,1.51176,1.61495,1.31336,0.64832,0.05634,0.07288,0.03464,1.76,3.04677,1.85922,0.0850149,1.4925e-05,1.4925e-05
3,17.879,1.37621,1.3993,1.26632,0.04468,0.40282,0.09698,0.04967,1.6391,3.28578,1.71673,0.0770228,2.277e-05,2.277e-05
4,21.3865,1.43229,1.39573,1.24424,0.37054,0.05043,0.27366,0.15318,1.61206,2.95406,1.55751,0.0690305,3.0535e-05,3.0535e-05
5,25.2767,1.40717,1.2912,1.22687,0.49607,0.39613,0.43959,0.25875,1.44597,2.08644,1.3455,0.0610382,3.822e-05,3.822e-05
6,28.3538,1.35153,1.23235,1.21851,0.63786,0.37671,0.51694,0.31735,1.38652,1.57375,1.25509,0.0530458,4.5825e-05,4.5825e-05
7,31.2454,1.36133,1.20792,1.22113,0.5612,0.44577,0.52568,0.3206,1.37724,1.30938,1.23317,0.0450534,5.335e-05,5.335e-05
8,34.7203,1.33843,1.15278,1.21908,0.47751,0.56232,0.51443,0.32132,1.34567,1.15137,1.20778,0.0370608,6.0795e-05,6.0795e-05
9,38.7681,1.38211,1.21637,1.23231,0.57492,0.45215,0.52786,0.3337,1.28568,1.08617,1.1699,0.0290682,6.816e-05,6.816e-05
10,41.4755,1.25176,1.04098,1.16172,0.58408,0.44827,0.55125,0.34834,1.24224,1.07382,1.15172,0.0210754,7.5445e-05,7.5445e-05
11,44.2453,1.25921,1.08541,1.17317,0.59833,0.52837,0.58569,0.37208,1.18957,1.01196,1.12221,0.0130827,8.265e-05,8.265e-05
12,46.9433,1.2376,1.09614,1.16959,0.63315,0.57067,0.6442,0.39288,1.18164,0.97614,1.11734,0.00508978,8.97751e-05,8.97751e-05
13,50.9821,1.24242,1.06021,1.14103,0.70146,0.56767,0.65602,0.42307,1.18232,0.95363,1.11319,9.40001e-05,9.40001e-05,9.40001e-05
14,53.8755,1.23944,1.04202,1.16936,0.65218,0.60493,0.68339,0.44387,1.18971,0.944,1.10766,9.35001e-05,9.35001e-05,9.35001e-05
15,56.7553,1.29296,1.0978,1.17921,0.67399,0.57993,0.68513,0.45565,1.19552,0.93011,1.10581,9.30001e-05,9.30001e-05,9.30001e-05
16,59.5604,1.22649,0.99895,1.12307,0.79243,0.60336,0.71837,0.47859,1.18034,0.91266,1.10012,9.25001e-05,9.25001e-05,9.25001e-05
17,64.1234,1.25289,1.00718,1.13222,0.664,0.64401,0.7424,0.48167,1.16541,0.89846,1.0959,9.20001e-05,9.20001e-05,9.20001e-05
18,67.3404,1.24147,1.05662,1.13744,0.62814,0.72958,0.75776,0.48339,1.15698,0.89655,1.09324,9.15001e-05,9.15001e-05,9.15001e-05
19,70.1683,1.28016,1.03811,1.1576,0.81136,0.64613,0.77303,0.49196,1.16242,0.87784,1.09647,9.10001e-05,9.10001e-05,9.10001e-05
20,73.0609,1.24241,1.03501,1.15045,0.82775,0.64489,0.77733,0.49803,1.1714,0.86909,1.10216,9.05001e-05,9.05001e-05,9.05001e-05
21,76.5391,1.22694,0.97542,1.12755,0.85744,0.65079,0.77952,0.50677,1.16967,0.86633,1.10298,9.00001e-05,9.00001e-05,9.00001e-05
